ID,Jahr,Betriebsteile,Vollbeschaeftigte,Lohnsumme_Mio,Anerkannte_Faelle,Faelle_Taggeld,Schwere_Unfaelle,Schwerste_Unfaelle,Invalidenrenten_UE,Invalidenrenten_80_UE,Todesfaelle_UE,Berufskrankheiten_BK,Invalidenrenten_BK,Todesfaelle_BK,Entschaedigte_Tage
21,2015,244,44452,4506,1174,265,25,2,3,0,0,27,1,1,9440
21,2016,243,44998,4851,1285,314,24,4,0,0,0,26,0,1,11517
21,2017,251,46158,4873,1186,308,19,3,0,0,0,30,2,0,10231
21,2018,273,47684,5111,1116,260,20,7,0,0,0,22,3,2,10672
21,2019,298,47682,5234,1051,295,20,0,0,0,0,25,0,1,9118
21,2020,322,48266,5441,937,271,23,2,2,1,0,38,0,1,11019
21,2021,347,49667,5489,952,275,25,2,2,0,0,35,1,3,10013
22,2012,726,25216,1694,1999,930,83,20,5,0,0,41,1,0,39851
22,2013,714,24280,1639,1947,915,68,7,14,0,0,32,0,0,35675
22,2014,717,24201,1651,1815,873,73,21,11,0,0,20,2,0,37526
22,2015,709,24249,1628,1772,823,75,24,7,1,0,17,1,0,37948
22,2016,699,23725,1602,1553,717,75,18,10,0,1,30,0,1,34645
22,2017,711,23292,1580,1677,859,79,15,11,0,0,15,0,0,38415
22,2018,708,23576,1598,1657,843,73,17,8,0,0,9,0,2,33864
22,2019,692,23428,1613,1626,829,70,14,9,0,0,16,1,1,33870
22,2020,688,22750,1592,1385,716,82,11,2,0,0,21,0,0,32283
22,2021,683,22870,1602,1397,698,79,10,3,0,0,20,0,0,31316
23,2012,974,18945,1333,1975,901,75,15,11,1,0,33,1,10,39159
23,2013,953,18165,1303,1946,904,103,32,9,0,3,49,1,13,47396
23,2014,948,17952,1306,1766,872,86,19,14,0,1,51,0,2,43326
23,2015,931,18494,1316,1778,846,102,23,12,1,1,34,3,6,42538
23,2016,924,18001,1306,1651,821,103,22,7,0,3,46,2,2,44313
23,2017,905,17984,1292,1644,777,106,30,19,2,0,44,2,5,41958
